ROW_ID,DEPTH,DATA_ROLE,SEGMENT_ID,PRIMARY_BLIND_MASK,PHYSICAL_QC_MASK,EXCLUSION_REASON
1,2675,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
2,2675.1524,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
3,2675.3048,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
4,2675.4572,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
5,2675.6096,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
6,2675.762,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
7,2675.9144,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
8,2676.0668,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
9,2676.2192,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
10,2676.3716,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
11,2676.524,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
12,2676.6764,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
13,2676.8288,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
14,2676.9812,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
15,2677.1336,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
16,2677.286,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
17,2677.4384,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
18,2677.5908,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
19,2677.7432,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
20,2677.8956,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
21,2678.048,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
22,2678.2004,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
23,2678.3528,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
24,2678.5052,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
25,2678.6576,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
26,2678.81,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
27,2678.9624,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
28,2679.1148,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
29,2679.2672,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
30,2679.4196,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
31,2679.572,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
32,2679.7244,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
33,2679.8768,WELL_B_SEG0_PRIMARY_BLIND,0,1,1,IN_EVALUATION
34,2680.0292,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
35,2680.1816,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
36,2680.334,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
37,2680.4864,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
38,2680.6388,WELL_B_SEG0_PRIMARY_BLIND,0,1,0,IN_EVALUATION
