CHECK,RUN1,RUN2,STATUS,TOLERANCE
fold_hash,"n=394,k=5,fold_sum=1190,depth_min=2700.0000,depth_max=2759.8932","n=394,k=5,fold_sum=1190,depth_min=2700.0000,depth_max=2759.8932",PASS,0
n_train,"394","394",PASS,0
n_seg0,"329","329",PASS,0
n_pop_A,"329","329",PASS,0
n_pop_B,"236","236",PASS,0
deploy_name,"ridge_stacker","ridge_stacker",PASS,0
deploy_r2_WA,"0.266813","0.266813",PASS,0.0001
S1_features,"GR,DT,NPHI,RHOB","GR,DT,NPHI,RHOB",PASS,0
S2_features,"RHOB,DT","RHOB,DT",PASS,0
hp_pnn_spread,"0.5","0.5",PASS,1e-10
ridge_lambda,"0.01","0.01",PASS,1e-10
ridge_r2_te,"0.266813","0.266813",PASS,0.0001
eval_popA_n,"329","329",PASS,0
eval_popA_r2,"-3.96065","-3.96065",PASS,0.0001
eval_popA_rmse,"0.482012","0.482012",PASS,0.0001
eval_popA_bias,"0.443367","0.443367",PASS,0.0001
eval_popB_n,"236","236",PASS,0
eval_popB_r2,"-7.39726","-7.39726",PASS,0.0001
eval_popB_rmse,"0.535175","0.535175",PASS,0.0001
eval_popB_bias,"0.505659","0.505659",PASS,0.0001
geomech_n_eval,"236","236",PASS,0
geomech_valid_pct,"0","0",PASS,0.0001
preproc_hash,"n=394|GR:mu=33.850483,sg=4.789763|DT:mu=74.052465,sg=4.297332|NPHI:mu=19.503976,sg=4.584727|RHOB:mu=2.452625,sg=0.072457","n=394|GR:mu=33.850483,sg=4.789763|DT:mu=74.052465,sg=4.297332|NPHI:mu=19.503976,sg=4.584727|RHOB:mu=2.452625,sg=0.072457",PASS,0
