MODEL,SPREAD,LR,HIDDEN_FIRST,HIDDEN_LAST,FILTERS,KERNEL,LAMBDA,CV_RMSE,CV_RMSE_STD
pnn,0.1,NaN,NaN,NaN,NaN,NaN,NaN,0.0614501003060511,0.0140921721358987
pnn,0.2,NaN,NaN,NaN,NaN,NaN,NaN,0.0558478104167027,0.0113291031271131
pnn,0.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0488199208371108,0.0116409430477769
pnn,1,NaN,NaN,NaN,NaN,NaN,NaN,0.0513729642080393,0.0154024196016683
pnn,2,NaN,NaN,NaN,NaN,NaN,NaN,0.0694747344705678,0.0200464021372176
mlffnn,NaN,0.001,64,32,NaN,NaN,NaN,0.265890440890001,0.0870967260809604
mlffnn,NaN,0.001,32,16,NaN,NaN,NaN,0.242606711113359,0.0682161321982396
mlffnn,NaN,0.0005,64,32,NaN,NaN,NaN,0.261963968623758,0.0463756312154076
mlffnn,NaN,0.001,128,64,NaN,NaN,NaN,0.213926462398511,0.078962262099688
dffnn,NaN,0.001,128,32,NaN,NaN,NaN,0.257868590729712,0.0876412367247195
dffnn,NaN,0.001,64,16,NaN,NaN,NaN,0.467434727031646,0.194459189059501
dffnn,NaN,0.001,128,64,NaN,NaN,NaN,0.246653906086101,0.137494043430607
cnn1d,NaN,0.001,NaN,NaN,32,3,NaN,0.287589101316669,0.11873232539351
cnn1d,NaN,0.001,NaN,NaN,64,3,NaN,0.232968250988035,0.140187143332231
cnn1d,NaN,0.001,NaN,NaN,32,5,NaN,0.287589101316669,0.11873232539351
