MODEL,TYPE,N,R2,RMSE,BIAS,MAE,IS_DEPLOYED
training_mean,baseline,329,-4.796820,0.521055,+0.473986,0.475055,0
Castagna_mudrock,empirical,329,-5.095194,0.534296,-0.521344,0.521344,0
GC_shale,empirical,329,-7.626234,0.635622,-0.624138,0.624138,0
GC_sand,empirical,329,-4.227464,0.494805,-0.480540,0.480540,0
GC_limestone,empirical,329,-5.157518,0.537021,-0.522274,0.522274,0
direct_ridge,direct,329,0.680443,0.122338,-0.015781,0.091356,0
pnn,base,329,-3.338731,0.450785,+0.413270,0.414579,0
mlffnn,base,329,-60.588475,1.698393,+1.684224,1.684224,0
dffnn,base,329,-60.816262,1.701531,+1.687704,1.687704,0
cnn1d,base,329,-60.571529,1.698159,+1.684228,1.684228,0
ridge_stacker,meta_prespecified,329,-3.960655,0.482012,+0.443367,0.444025,1
icnn,meta,329,-2.427577,0.400666,+0.356276,0.358317,0
hybrid_icnn,meta,329,-0.404787,0.256504,-0.229070,0.234258,0
