MODEL,TYPE,N,R2,RMSE,BIAS,MAE,IS_DEPLOYED
training_mean,baseline,236,-9.185783,0.589419,+0.559738,0.559738,0
Castagna_mudrock,empirical,236,-5.849071,0.483329,-0.473021,0.473021,0
GC_shale,empirical,236,-8.971387,0.583182,-0.574223,0.574223,0
GC_sand,empirical,236,-4.758116,0.443166,-0.431723,0.431723,0
GC_limestone,empirical,236,-5.801999,0.481665,-0.470075,0.470075,0
direct_ridge,direct,236,0.659862,0.107710,+0.032806,0.072551,0
pnn,base,236,-6.468522,0.504712,+0.479590,0.479590,0
mlffnn,base,236,-91.792323,1.779027,+1.768771,1.768771,0
dffnn,base,236,-92.209566,1.783023,+1.773414,1.773414,0
cnn1d,base,236,-91.741823,1.778543,+1.768577,1.768577,0
ridge_stacker,meta_prespecified,236,-7.397263,0.535175,+0.505659,0.505659,1
icnn,meta,236,-4.951140,0.450533,+0.417487,0.417487,0
hybrid_icnn,meta,236,-0.388239,0.217600,-0.191808,0.199041,0
